meanRevs4,meanRevs6,meanRevs8,participant,condLabel,ptnt4,ptnt6,ptnt8,norm4,norm6,norm8,expName,expPara,time,dom,session,nRevs,mcSz,mcSf,mcBv,mcBsf,mcPeriGap,mcPeriFade,targSz,targSf,targOri1,targOri2,targXoff1,targXoff2,targYoff,targV,targTtot,targTpeak,trialT,fixCross,"Mask
Velocity",Mask/Target
-1.305,-1.303333333,-1.29,0,mcBv-0.01_tgT-0.33_tgEcc-100,-1.5325625,-1.524208333,-1.53346875,1.174377395,1.169469309,1.188735465,mc2_tgT-mcBv2,peri,2017-02-18_1114,0,2,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,0.33,2,1,0,"Static mask
Peripheral target"
-1.38625,-1.4075,-1.436875,0,mcBv-0.01_tgT-0.33_tgEcc-28,-1.5325625,-1.524208333,-1.53346875,1.105545537,1.082918887,1.06722488,mc2_tgT-mcBv2,cent,2017-02-18_1046,0,1,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,0.33,2,1,0,"Static mask
Center target"
-1.5,-1.483333333,-1.46875,0,mcBv-0.01_tgT-0.66_tgEcc-100,-1.5325625,-1.524208333,-1.53346875,1.021708333,1.02755618,1.04406383,mc2_tgT-mcBv2,peri,2017-02-18_1114,0,2,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,0.66,2,1,0,"Static mask
Peripheral target"
-1.55625,-1.570833333,-1.553125,0,mcBv-0.01_tgT-0.66_tgEcc-28,-1.5325625,-1.524208333,-1.53346875,0.984779116,0.970318302,0.987344064,mc2_tgT-mcBv2,cent,2017-02-18_1046,0,1,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,0.66,2,1,0,"Static mask
Center target"
-1.53,-1.52,-1.515,0,mcBv-0.01_tgT-1.0_tgEcc-100,-1.5325625,-1.524208333,-1.53346875,1.001674837,1.00276864,1.012190594,mc2_tgT-mcBv2,peri,2017-02-18_1114,0,2,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1,2,1,0,"Static mask
Peripheral target"
-1.7175,-1.645,-1.6525,0,mcBv-0.01_tgT-1.0_tgEcc-28,-1.5325625,-1.524208333,-1.53346875,0.892321689,0.926570415,0.927968986,mc2_tgT-mcBv2,cent,2017-02-18_1046,0,1,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1,2,1,0,"Static mask
Center target"
-1.48875,-1.475833333,-1.481875,0,mcBv-0.01_tgT-1.33_tgEcc-100,-1.5325625,-1.524208333,-1.53346875,1.029429051,1.032778091,1.034816533,mc2_tgT-mcBv2,peri,2017-02-18_1114,0,2,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1.33,2,1,0,"Static mask
Peripheral target"
-1.755,-1.703333333,-1.69625,0,mcBv-0.01_tgT-1.33_tgEcc-28,-1.5325625,-1.524208333,-1.53346875,0.873254986,0.894838552,0.904034635,mc2_tgT-mcBv2,cent,2017-02-18_1046,0,1,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1.33,2,1,0,"Static mask
Center target"
-1.55125,-1.550833333,-1.531875,0,mcBv-0.01_tgT-1.66_tgEcc-100,-1.5325625,-1.524208333,-1.53346875,0.987953263,0.982831811,1.001040392,mc2_tgT-mcBv2,peri,2017-02-18_1114,0,2,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1.66,2,1,0,"Static mask
Peripheral target"
-1.73,-1.703333333,-1.715,0,mcBv-0.01_tgT-1.66_tgEcc-28,-1.5325625,-1.524208333,-1.53346875,0.885874277,0.894838552,0.894150875,mc2_tgT-mcBv2,cent,2017-02-18_1046,0,1,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1.66,2,1,0,"Static mask
Center target"
-1.615,-1.576666667,-1.62625,0,mcBv-9.6_tgT-0.33_tgEcc-100,-1.5325625,-1.524208333,-1.53346875,0.948955108,0.96672833,0.942947733,mc2_tgT-mcBv2,peri,2017-02-18_1114,0,2,10,256,0.1,9.6,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,0.33,2,1,16,"Dynamic mask
Peripheral target"
-1.5625,-1.575,-1.55625,0,mcBv-9.6_tgT-0.33_tgEcc-28,-1.5325625,-1.524208333,-1.53346875,0.98084,0.967751323,0.985361446,mc2_tgT-mcBv2,cent,2017-02-18_1046,0,1,10,256,0.1,9.6,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,0.33,2,1,16,"Dynamic mask
Center target"
-1.48,-1.503333333,-1.50875,0,mcBv-9.6_tgT-0.66_tgEcc-100,-1.5325625,-1.524208333,-1.53346875,1.035515203,1.013885809,1.016383596,mc2_tgT-mcBv2,peri,2017-02-18_1114,0,2,10,256,0.1,9.6,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,0.66,2,1,16,"Dynamic mask
Peripheral target"
-1.425,-1.433333333,-1.4875,0,mcBv-9.6_tgT-0.66_tgEcc-28,-1.5325625,-1.524208333,-1.53346875,1.075482456,1.063401163,1.030903361,mc2_tgT-mcBv2,cent,2017-02-18_1046,0,1,10,256,0.1,9.6,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,0.66,2,1,16,"Dynamic mask
Center target"
-1.59125,-1.5775,-1.614375,0,mcBv-9.6_tgT-1.0_tgEcc-100,-1.5325625,-1.524208333,-1.53346875,0.963118617,0.966217644,0.949883856,mc2_tgT-mcBv2,peri,2017-02-18_1114,0,2,10,256,0.1,9.6,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1,2,1,16,"Dynamic mask
Peripheral target"
-1.45875,-1.4225,-1.435625,0,mcBv-9.6_tgT-1.0_tgEcc-28,-1.5325625,-1.524208333,-1.53346875,1.050599829,1.071499707,1.068154114,mc2_tgT-mcBv2,cent,2017-02-18_1046,0,1,10,256,0.1,9.6,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1,2,1,16,"Dynamic mask
Center target"
-1.525,-1.533333333,-1.55625,0,mcBv-9.6_tgT-1.33_tgEcc-100,-1.5325625,-1.524208333,-1.53346875,1.004959016,0.994048913,0.985361446,mc2_tgT-mcBv2,peri,2017-02-18_1114,0,2,10,256,0.1,9.6,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1.33,2,1,16,"Dynamic mask
Peripheral target"
-1.41125,-1.4075,-1.411875,0,mcBv-9.6_tgT-1.33_tgEcc-28,-1.5325625,-1.524208333,-1.53346875,1.085961027,1.082918887,1.086122178,mc2_tgT-mcBv2,cent,2017-02-18_1046,0,1,10,256,0.1,9.6,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1.33,2,1,16,"Dynamic mask
Center target"
-1.56125,-1.574166667,-1.580625,0,mcBv-9.6_tgT-1.66_tgEcc-100,-1.5325625,-1.524208333,-1.53346875,0.9816253,0.968263632,0.970166074,mc2_tgT-mcBv2,peri,2017-02-18_1114,0,2,10,256,0.1,9.6,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1.66,2,1,16,"Dynamic mask
Peripheral target"
-1.50125,-1.5175,-1.550625,0,mcBv-9.6_tgT-1.66_tgEcc-28,-1.5325625,-1.524208333,-1.53346875,1.020857619,1.004420648,0.988935913,mc2_tgT-mcBv2,cent,2017-02-18_1046,0,1,10,256,0.1,9.6,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1.66,2,1,16,"Dynamic mask
Center target"
-1.11,-1.09,-1.105,1,mcBv-0.01_tgT-0.33_tgEcc-100,-1.2814375,-1.284291667,-1.29259375,1.154448198,1.178249235,1.1697681,mc2_tgT-mcBv2,peri,2017-02-21_1410,0,1,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,0.33,2,1,0,"Static mask
Peripheral target"
-1.10125,-1.0675,-1.075625,1,mcBv-0.01_tgT-0.33_tgEcc-28,-1.2814375,-1.284291667,-1.29259375,1.163620885,1.203083528,1.20171412,mc2_tgT-mcBv2,cent,2017-02-21_1439,0,2,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,0.33,2,1,0,"Static mask
Center target"
