startContr,mcSz,mcSf,mcBv,mcBsf,mcPeriFade,targSz,targSf,targOri1,targOri2,targXoff,targYoff,targV,targTtot,targTpeak,fixCross,trialT,trialN
-1,256,0.1,0.01,0.05,16,32,0.2,-45,45,0,0,0,1,0.5,0,2,30
-1,256,0.1,0.01,0.05,16,32,0.2,-45,45,0,0,0,1,1,0,2,30
-1,256,0.1,0.01,0.05,16,32,0.2,-45,45,0,0,0,1,1.5,0,2,30
-1,256,0.1,4.8,0.05,16,32,0.2,-45,45,0,0,0,1,0.5,0,2,30
-1,256,0.1,4.8,0.05,16,32,0.2,-45,45,0,0,0,1,1,0,2,30
-1,256,0.1,4.8,0.05,16,32,0.2,-45,45,0,0,0,1,1.5,0,2,30
-2,256,0.1,0.01,0.05,16,32,0.2,-45,45,0,0,0,1,0.5,0,2,30
-2,256,0.1,0.01,0.05,16,32,0.2,-45,45,0,0,0,1,1,0,2,30
-2,256,0.1,0.01,0.05,16,32,0.2,-45,45,0,0,0,1,1.5,0,2,30
-2,256,0.1,4.8,0.05,16,32,0.2,-45,45,0,0,0,1,0.5,0,2,30
-2,256,0.1,4.8,0.05,16,32,0.2,-45,45,0,0,0,1,1,0,2,30
-2,256,0.1,4.8,0.05,16,32,0.2,-45,45,0,0,0,1,1.5,0,2,30
