startContr,mcSz,mcSf,mcBv,mcBsf,mcPeriFade,targSz,targSf,targOri1,targOri2,targXoff1,targXoff2,targYoff,targV,targTtot,targTpeak,fixCross,trialT,nRevs
0,256,0.1,0.01,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,0.33,1,2,12
0,256,0.1,0.01,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,0.66,1,2,12
0,256,0.1,0.01,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,1,1,2,12
0,256,0.1,0.01,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,1.33,1,2,12
0,256,0.1,0.01,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,1.66,1,2,12
0,256,0.1,9.6,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,0.33,1,2,12
0,256,0.1,9.6,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,0.66,1,2,12
0,256,0.1,9.6,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,1,1,2,12
0,256,0.1,9.6,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,1.33,1,2,12
0,256,0.1,9.6,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,1.66,1,2,12
1,256,0.1,0.01,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,0.33,1,2,12
1,256,0.1,0.01,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,0.66,1,2,12
1,256,0.1,0.01,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,1,1,2,12
1,256,0.1,0.01,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,1.33,1,2,12
1,256,0.1,0.01,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,1.66,1,2,12
1,256,0.1,9.6,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,0.33,1,2,12
1,256,0.1,9.6,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,0.66,1,2,12
1,256,0.1,9.6,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,1,1,2,12
1,256,0.1,9.6,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,1.33,1,2,12
1,256,0.1,9.6,0.05,16,28,0.1,0,0,-28,28,0,0,0.66,1.66,1,2,12
